age,fnlwgt,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,sex,country,salary
18,446839,0,0,30,4,11,4,12,1,39,0
47,543162,0,0,40,2,11,5,1,0,39,0
58,216824,0,0,30,6,11,2,5,1,39,0
24,403671,0,0,40,4,9,4,10,1,39,0
49,105431,0,0,40,4,11,0,8,0,39,0
51,203015,0,0,40,0,11,2,0,1,39,0
30,219318,0,0,35,4,11,4,7,0,33,0
20,170038,0,0,40,4,11,4,12,0,39,0
39,293291,0,0,50,4,11,2,7,1,39,1
31,257863,0,0,15,4,15,0,8,0,39,0
29,247053,0,0,40,4,11,5,8,0,39,0
32,217296,4064,0,22,2,11,2,14,0,39,0
36,356838,0,0,35,0,2,4,0,1,39,0
20,144685,0,1602,40,0,15,4,0,0,36,0
62,170114,0,0,50,8,7,2,5,1,39,0
32,236543,0,0,40,4,2,2,3,1,26,0
21,344891,0,0,20,4,15,4,1,1,39,0
41,111772,0,1887,40,6,7,2,3,1,39,1
64,113324,0,0,40,2,11,6,4,1,39,0
55,256335,0,0,40,7,9,0,4,1,39,0
32,245378,0,0,60,4,11,2,12,1,39,0
28,196564,0,0,45,4,11,2,3,1,39,0
48,330470,0,0,30,4,15,2,6,1,39,0
31,86143,0,0,40,7,11,4,11,1,39,0
41,284086,0,0,60,6,8,0,12,1,39,0
33,63184,0,0,40,4,11,4,5,1,39,0
52,208302,0,0,36,4,11,2,12,1,39,0
39,208109,0,0,60,6,11,2,14,1,39,1
30,29662,0,0,25,4,7,2,8,0,39,1
54,292673,0,0,35,4,3,2,8,1,26,0
55,26290,0,0,38,7,8,6,4,0,39,0
90,52386,0,0,40,4,9,4,10,1,39,0
28,50814,0,0,40,4,11,4,10,0,39,0
65,167414,0,0,59,6,11,2,4,1,39,1
38,277347,0,0,50,4,11,2,3,1,39,0
23,256628,0,0,32,4,5,2,14,1,39,0
28,314177,0,0,40,4,0,4,6,1,39,0
23,201682,0,0,40,4,9,2,1,0,39,0
46,192779,0,0,45,4,9,4,12,1,39,1
59,87247,0,0,40,0,0,0,0,0,9,0
54,311020,0,0,50,4,11,2,8,1,39,0
47,235646,0,0,40,6,12,2,10,1,39,1
54,326156,0,0,40,4,15,2,3,1,39,1
35,126569,4064,0,40,4,15,2,12,1,39,0
28,24153,0,0,40,1,0,2,8,0,39,0
48,174533,0,0,40,0,1,5,0,1,39,0
59,145574,0,0,35,0,7,2,0,1,39,1
31,101697,0,0,40,4,8,2,10,0,39,0
26,339324,0,0,96,4,11,2,7,1,39,0
59,230899,0,0,40,4,6,5,7,0,26,0
66,168071,0,0,30,0,11,2,0,1,39,0
45,102359,0,0,37,2,9,2,10,1,39,0
37,82283,0,0,40,4,4,2,8,1,0,0
24,314182,0,0,50,4,11,4,14,0,39,0
48,345831,0,0,40,4,11,0,7,1,39,0
20,107746,0,0,40,4,1,4,14,1,13,0
69,107548,0,0,40,6,6,2,1,1,39,0
22,34029,0,0,20,2,9,4,10,0,39,0
23,276568,0,0,40,4,15,4,12,0,39,0
25,207875,0,0,20,4,15,4,5,1,39,0
23,319842,0,0,25,4,15,4,6,1,39,0
34,124569,0,0,40,4,15,0,1,0,39,0
38,146178,0,0,40,4,11,4,3,0,39,0
39,111275,0,0,40,4,11,2,3,1,39,0
35,434114,0,0,40,4,11,2,6,1,26,0
36,321733,0,1741,40,4,9,0,4,1,39,0
27,259873,0,0,60,6,11,2,8,1,39,1
21,175800,0,0,55,4,11,4,10,0,39,0
27,137063,0,0,50,4,9,2,12,1,39,0
55,205296,0,0,50,6,15,2,12,0,39,0
73,205580,0,0,6,2,4,2,10,1,39,0
28,312588,0,0,40,4,0,0,8,0,39,0
39,224531,7298,0,40,4,11,2,3,1,39,1
18,32059,0,0,40,4,1,4,6,1,39,0
37,910398,0,0,40,4,9,4,12,0,39,0
47,221666,0,0,40,4,15,0,13,0,39,0
60,205246,0,2559,50,6,11,4,4,1,39,1
17,192387,0,0,45,2,6,4,8,1,39,0
26,130832,0,0,10,0,9,4,0,0,39,0
53,129525,0,0,50,4,9,2,4,1,39,1
28,192283,0,0,80,4,12,3,12,0,39,1
45,228570,0,0,35,4,11,2,12,0,39,0
28,114967,0,0,40,4,9,2,10,1,39,1
26,373553,0,0,42,4,15,2,1,0,39,0
21,232569,0,0,40,4,11,4,6,1,39,0
39,423605,0,1848,40,2,2,2,14,1,27,1
19,211553,0,0,35,0,15,4,0,0,39,0
23,189072,0,0,45,4,9,4,13,0,39,0
53,130703,0,0,40,1,11,2,1,1,39,0
45,40666,0,0,60,6,8,2,5,1,39,0
35,289430,0,0,45,5,12,2,12,1,26,1
21,72593,0,0,40,4,11,4,8,1,39,0
20,203240,0,0,30,4,7,4,1,0,39,0
81,98116,0,0,50,4,9,6,12,1,39,1
23,215395,0,0,40,4,11,4,7,1,39,0
48,178686,0,0,40,4,11,0,3,1,39,0
38,166585,0,0,40,4,11,4,4,0,39,0
52,189728,0,0,50,4,11,5,9,0,39,0
42,352196,0,0,22,6,11,5,8,0,39,0
17,295308,0,0,20,4,1,4,9,0,39,0
58,349910,7688,0,40,4,11,2,4,1,39,1
19,358631,0,0,25,4,11,4,1,1,39,0
35,240467,0,0,40,4,11,3,1,0,39,0
41,211873,0,1628,5,0,8,2,0,0,0,0
35,199753,0,0,48,4,11,4,7,1,39,0
45,319122,14084,0,45,6,9,4,12,1,39,1
52,145879,0,0,65,4,15,2,12,1,39,0
35,103214,0,0,60,1,10,4,10,0,39,1
42,203554,0,0,60,4,12,2,4,1,39,1
61,103575,0,0,37,4,11,2,3,1,39,0
20,275357,0,0,25,4,8,4,13,0,39,0
65,198766,20051,0,40,4,12,2,12,1,39,1
50,177896,0,0,50,4,11,2,3,1,39,0
49,213431,0,0,40,4,11,5,10,0,39,0
21,249271,0,0,40,0,15,2,0,1,39,0
33,284531,0,0,40,4,9,4,12,0,39,0
26,247006,0,0,52,4,11,2,4,1,39,0
67,126849,0,0,20,4,0,2,14,1,39,0
53,79324,0,0,40,4,11,2,3,1,39,1
38,155676,0,0,40,0,11,0,0,0,39,0
62,92178,0,0,40,4,0,2,7,1,39,0
33,34748,0,1887,20,4,11,2,1,0,39,1
35,80771,0,0,40,7,12,4,10,0,39,0
27,185670,0,0,60,4,9,2,12,1,39,1
48,175653,14084,0,40,0,7,0,0,0,39,1
36,306646,0,0,55,4,9,2,4,1,39,1
44,336906,0,0,40,4,15,0,1,0,39,0
51,32372,0,0,99,6,2,2,8,1,39,0
26,333677,2463,0,35,4,9,4,4,1,39,0
28,183523,0,0,50,6,11,2,3,1,18,0
46,156926,0,0,60,4,15,2,4,1,39,1
21,109952,0,0,50,4,0,2,7,1,39,0
37,134088,0,0,40,4,7,4,1,0,39,0
32,207668,0,0,50,4,11,2,3,1,39,0
34,187215,15024,0,36,4,9,2,10,0,39,1
42,79531,0,0,55,6,15,2,4,1,39,1
45,96975,0,0,40,4,15,0,6,0,39,0
18,154089,0,0,20,4,1,4,6,1,39,0
48,147397,0,0,36,1,11,2,1,1,39,0
58,200042,15024,0,40,1,15,2,4,1,39,1
63,266083,0,0,60,4,5,2,14,1,39,1
20,166527,0,0,20,4,15,4,1,0,39,0
18,236262,0,0,12,4,1,4,6,1,39,0
45,247043,0,0,42,4,1,2,3,1,39,0
22,203894,0,0,24,4,15,4,14,0,39,0
23,62507,0,0,12,0,15,4,0,0,39,0
21,96844,0,0,20,4,15,4,1,0,39,0
33,121195,0,0,50,4,11,4,7,1,39,0
29,181822,0,0,40,4,9,4,12,1,39,0
24,234460,0,0,40,4,6,4,7,0,6,0
20,22966,0,0,12,4,15,4,8,1,2,0
36,95855,0,0,60,2,12,2,10,0,39,1
60,24215,0,0,10,0,0,0,0,0,39,0
46,585361,0,0,40,4,6,0,4,0,39,0
42,220776,0,0,40,4,11,5,6,1,31,0
49,195949,0,0,40,1,11,2,7,1,39,0
29,34796,0,0,40,4,11,4,4,1,39,0
46,34377,0,0,40,4,7,2,3,1,39,1
36,177285,0,0,38,4,8,4,10,0,39,0
30,235271,0,0,40,2,9,2,11,1,39,1
30,295010,0,0,60,1,9,4,11,0,39,1
36,101833,0,0,40,2,9,5,10,1,39,0
53,182186,0,0,40,4,6,2,8,1,6,0
52,169785,0,0,50,4,15,4,4,0,39,0
49,53893,0,0,40,4,11,0,14,1,39,0
63,86590,0,0,32,2,11,2,4,0,39,0
26,266639,0,0,40,5,9,4,1,0,39,0
37,40955,0,0,40,1,15,4,8,1,24,0
22,107801,0,0,40,4,8,4,1,0,39,0
46,42251,0,0,45,4,15,2,12,1,39,1
26,491862,0,0,40,4,8,4,4,0,39,0
21,197918,0,0,40,4,11,4,14,1,39,0
51,160724,0,2415,40,6,9,2,12,1,3,1
50,169182,0,0,49,2,11,0,8,0,6,0
37,95654,0,0,35,4,0,0,4,0,39,0
47,160647,0,0,46,4,11,4,5,0,39,0
37,378916,0,0,40,7,11,2,1,1,39,0
32,102986,0,0,40,4,4,2,7,0,25,1
46,422813,0,0,40,4,15,2,1,1,39,1
37,89718,0,0,45,4,15,2,14,1,39,0
25,67467,0,0,40,4,11,2,13,1,39,0
41,282964,0,0,40,4,15,0,1,0,39,0
26,252565,0,0,55,4,0,2,3,1,39,0
29,229729,0,0,40,4,11,4,14,1,39,0
21,175374,0,0,40,4,11,4,1,1,39,0
27,114967,0,0,40,4,9,4,13,1,39,0
88,68539,0,0,40,4,15,0,1,0,39,0
54,511668,0,1977,43,4,10,2,4,1,39,1
26,172063,0,0,24,4,15,4,12,0,39,0
29,138597,0,0,40,5,7,4,10,0,39,0
31,213771,0,0,36,0,11,6,0,0,39,0
23,22966,0,0,35,0,9,4,0,1,39,0
52,338816,0,0,70,7,12,4,1,1,39,1
54,123374,0,0,40,4,5,2,3,1,39,0
42,172297,0,1902,40,4,12,2,1,1,39,1
32,198068,0,0,40,4,11,2,3,1,39,0
45,182100,0,0,40,2,9,2,12,1,39,1
31,113530,0,0,45,5,11,4,3,1,39,0
46,228620,0,0,40,0,1,6,0,0,39,0
32,198660,0,0,40,4,15,2,3,1,39,0
37,272471,0,0,40,2,11,0,1,0,39,0
52,232132,0,0,45,4,2,2,7,1,39,1
44,147206,7688,0,45,4,15,2,3,1,39,1
27,391468,0,0,40,4,1,0,3,1,39,0
51,203334,0,0,45,2,10,0,4,0,39,1
33,94193,0,0,40,1,11,0,1,0,39,0
23,13769,0,0,30,4,15,2,7,1,39,0
53,283743,0,2002,40,4,11,2,14,1,39,0
37,140854,0,0,50,4,9,2,4,1,39,1
23,163665,0,0,32,4,11,4,4,0,39,0
58,198145,0,0,35,7,9,2,1,1,39,1
43,174051,0,0,48,4,9,2,3,1,39,0
37,117760,4650,0,40,2,8,4,11,1,39,0
24,179423,0,0,40,4,11,4,1,0,39,0
19,73514,0,0,30,6,11,4,1,0,39,0
36,201769,13550,0,40,4,1,4,11,1,39,1
56,267652,0,0,40,4,9,2,3,1,39,0
30,160634,0,0,40,4,8,4,3,1,39,1
23,376416,0,0,40,4,9,4,1,1,39,0
32,180303,0,0,47,6,9,0,3,1,20,0
48,26145,0,0,80,5,0,2,5,1,39,0
61,124648,0,0,40,0,0,0,0,0,39,0
39,382802,0,1590,40,4,0,6,7,1,39,0
17,228399,0,0,7,4,1,4,8,0,39,0
61,177189,0,0,42,2,9,2,10,1,39,0
25,53147,0,0,50,4,9,4,4,1,39,0
52,49243,0,0,40,4,11,2,7,1,39,0
38,31848,0,0,40,4,8,2,3,1,39,1
26,216522,0,0,42,2,9,4,10,0,39,0
19,227310,0,0,25,6,15,4,8,0,39,0
17,166242,0,0,15,4,0,4,8,0,39,0
21,185251,0,0,40,4,11,4,12,1,39,0
48,316101,0,0,40,4,11,0,4,0,39,0
64,207321,0,0,20,0,15,2,0,1,39,0
30,271933,0,0,40,4,11,0,1,0,39,0
31,393357,0,0,48,4,6,2,6,1,39,0
29,354558,0,0,60,4,11,2,12,1,39,0
40,115331,0,0,35,4,11,2,14,1,39,0
54,48358,0,0,40,4,11,2,3,1,39,1
30,323069,0,0,40,4,9,4,12,0,39,0
42,33521,0,0,45,4,7,2,12,1,39,1
26,33939,0,0,20,4,15,4,13,1,39,0
47,109921,0,0,32,0,11,5,0,0,39,0
34,157466,0,0,45,5,11,2,1,1,39,0
33,109959,0,0,25,6,15,2,12,1,39,0
38,43712,7298,0,60,4,9,2,10,1,39,1
18,76142,0,0,8,7,1,4,8,1,39,0
49,192323,0,0,40,4,11,2,7,1,39,0
75,205860,0,1735,40,6,15,2,3,1,39,0
23,409230,0,0,25,4,9,4,12,1,39,0
31,58624,0,0,40,2,11,4,14,1,39,0
33,205152,0,0,55,4,8,4,4,1,39,1
62,162678,0,0,40,7,9,2,4,1,39,0
67,200862,0,0,35,0,0,4,0,0,39,0
73,127858,3273,0,40,1,15,6,13,0,39,0
36,32776,0,1977,40,4,9,2,4,1,39,1
52,44728,0,0,55,6,15,2,12,1,39,1
22,191444,0,0,40,4,11,4,12,1,39,0
19,169758,0,0,40,0,15,4,0,1,39,0
23,42706,0,0,45,4,15,4,10,1,39,0
22,289982,0,0,35,2,9,4,10,0,39,0
38,273640,0,0,40,4,11,4,8,0,39,0
49,232664,0,0,40,6,9,4,4,0,39,0
31,53042,0,0,40,4,15,2,7,1,38,0
29,412435,0,0,40,4,11,2,4,0,28,0
24,146706,0,0,30,4,15,4,8,0,39,0
42,122861,0,0,40,1,12,2,4,1,39,1
66,234743,0,0,24,4,15,2,4,1,39,0
35,475324,0,0,40,1,9,2,4,1,39,1
42,345363,0,0,40,4,11,0,4,0,9,0
44,227065,0,0,40,4,9,2,4,1,39,1
48,146268,7688,0,40,4,9,2,1,1,39,1
47,208872,0,0,40,4,15,2,3,1,39,0
22,32732,0,0,50,0,15,4,0,1,39,0
44,175696,0,0,40,7,9,2,4,1,39,1
40,106698,0,0,40,4,7,0,14,0,39,0
29,164607,0,0,40,6,11,2,3,1,39,0
23,330571,0,0,16,4,9,4,10,0,39,0
42,173590,0,1628,40,4,15,2,1,1,39,0
54,215990,7688,0,40,4,15,2,13,1,39,1
84,132806,0,0,13,4,11,6,8,0,39,0
24,317443,0,0,40,2,9,2,10,0,39,0
22,252355,0,0,27,4,11,4,8,1,39,0
66,244661,0,0,40,4,9,2,1,1,30,0
39,112158,0,0,26,4,15,2,12,1,0,0
21,195199,0,0,30,4,11,4,10,0,39,0
34,198091,0,0,72,4,11,2,3,1,39,0
22,117606,0,0,25,4,9,4,1,0,39,0
20,249087,0,0,40,0,15,4,0,0,39,0
49,271346,15024,0,60,0,9,2,0,1,39,1
31,255830,0,0,45,7,7,4,1,0,39,0
25,431307,0,0,50,4,0,2,11,0,39,0
29,109001,0,0,35,6,15,2,3,1,39,0
28,197484,0,0,40,4,11,4,6,1,39,0
51,44000,99999,0,50,4,12,2,10,0,39,1
52,81436,0,0,40,5,14,2,12,1,39,1
29,192010,0,0,60,4,9,4,10,0,31,0
45,197038,0,0,50,4,9,0,10,1,39,1
28,120135,0,0,40,4,8,4,12,0,39,0
61,128848,3471,0,40,4,11,2,7,1,39,0
54,398212,5013,0,40,4,11,2,14,1,39,0
68,234859,0,0,30,6,15,2,8,1,39,0
33,147654,0,0,60,2,8,2,10,1,39,0
85,166027,0,0,50,6,11,6,12,0,39,0
39,38312,0,0,40,4,15,3,3,1,39,1
44,38876,0,0,40,6,11,2,5,1,39,0
39,103986,0,1590,40,0,11,4,0,1,39,0
21,308237,0,0,40,4,4,2,6,1,26,0
24,237386,0,0,42,4,15,4,4,1,39,0
30,112263,0,0,40,4,1,0,6,1,39,0
30,541343,0,0,40,4,0,2,8,1,39,0
41,120539,3103,0,40,6,15,2,7,1,39,1
22,226508,0,0,50,4,9,4,4,0,39,0
35,438176,0,0,65,4,8,4,8,0,39,0
51,103257,0,0,40,6,14,2,10,1,39,0
53,177647,0,0,40,1,11,2,13,1,10,1
33,177945,0,0,40,1,11,2,1,1,39,0
33,425785,0,0,40,7,8,2,10,1,39,0
59,43280,0,0,40,1,15,4,4,0,39,0
30,224147,0,0,40,4,11,4,14,1,39,0
17,198606,0,0,16,4,1,4,6,0,39,0
42,32546,7430,0,40,6,14,0,10,1,39,1
39,305597,0,0,40,4,11,2,3,1,39,1
19,206777,0,0,40,4,11,4,6,1,39,0
35,340260,0,0,48,4,11,0,3,0,39,0
62,134768,0,0,40,4,11,2,14,1,39,1
17,207637,0,0,10,4,1,4,6,1,39,0
46,158656,0,0,36,4,7,4,10,0,39,0
61,198542,0,0,40,0,9,0,0,0,39,0
60,145664,0,0,48,4,15,0,12,0,39,0
39,226374,0,0,40,4,0,0,8,0,39,0
39,120985,0,0,40,4,11,0,8,1,39,0
53,233369,0,0,40,4,15,6,4,0,39,0
57,169329,0,1887,40,4,11,2,13,1,38,1
41,206470,0,0,40,4,9,2,10,1,11,0
61,241013,0,0,40,4,5,6,5,1,39,0
61,162678,0,0,40,7,4,2,14,1,39,0
34,106761,0,0,45,4,9,2,12,1,39,1
52,169549,0,0,40,4,15,0,4,0,39,0
38,190895,0,0,40,1,9,2,10,1,0,1
37,96330,0,0,40,4,15,4,4,0,39,0
24,241857,0,0,35,4,15,4,1,0,39,0
30,191777,0,0,40,4,15,4,1,0,0,0
41,112262,0,0,50,5,11,2,3,1,39,0
61,28291,0,0,82,4,11,0,5,0,39,0
46,155933,0,1602,8,4,9,4,7,0,39,0
81,89015,0,0,18,0,11,2,0,1,39,0
22,174975,0,0,36,4,8,4,13,0,39,0
43,220609,0,0,50,4,15,0,13,0,39,0
20,121568,0,0,50,4,11,2,6,1,39,0
22,224238,0,0,2,0,15,4,0,1,39,0
58,33725,0,0,20,4,12,0,10,1,39,0
57,25045,2174,0,37,7,9,0,1,1,39,0
27,65308,0,0,50,6,11,2,5,1,39,0
42,364832,0,0,40,4,5,0,12,0,39,0
23,208826,0,0,40,4,9,4,8,0,39,0
43,160674,0,0,40,4,11,0,4,0,39,0
41,238184,0,0,40,6,11,2,5,0,39,0
35,342824,1151,0,40,4,11,4,13,0,39,0
45,198223,0,1902,45,4,9,2,12,1,39,1
38,43770,4650,0,72,4,15,5,8,0,39,0
29,81648,0,1887,55,4,11,2,12,1,39,1
42,126320,0,0,40,1,15,2,14,1,39,0
38,29874,0,0,40,4,8,2,3,1,39,0
30,146161,0,1887,50,6,11,2,4,1,39,1
52,254285,0,1887,70,7,10,2,10,1,11,1
43,222756,0,0,40,1,12,2,3,1,39,0
47,206947,0,0,67,5,7,6,4,0,39,0
47,162034,0,0,70,4,9,2,12,1,39,0
54,136224,0,0,30,6,12,0,10,0,39,0
25,124111,0,0,40,4,9,4,1,0,39,0
45,168191,0,0,35,2,9,2,3,1,39,1
35,93034,0,0,40,4,11,4,7,1,1,0
24,229773,0,0,35,4,15,2,3,1,39,0
22,197838,0,0,40,4,9,4,4,1,39,0
76,191024,0,0,30,0,9,2,0,1,39,0
39,165235,0,0,40,4,9,5,10,0,30,1
29,158218,0,0,35,4,11,4,5,1,39,0
45,146857,0,0,38,4,9,2,4,1,39,1
72,107814,2329,0,60,4,12,4,10,1,39,0
28,125527,0,0,50,4,15,4,12,1,39,0
38,300975,0,1485,40,4,12,2,8,1,0,0
41,227734,3464,0,40,7,11,2,1,1,39,0
35,119098,0,0,40,4,12,2,4,1,39,0
45,48271,0,0,40,4,15,2,1,0,39,1
35,174308,0,0,40,4,15,4,14,1,39,0
46,39606,0,0,40,1,12,2,4,1,9,1
34,198183,0,0,40,4,11,4,1,0,39,0
